Step,Time (s),AL (mol/cm3s),Err,O2 (mol/cm3s),Err,ALO (mol/cm3s),Err,O (mol/cm3s),Err,ALO2 (mol/cm3s),Err,AL2O2 (mol/cm3s),Err,AL2O3(S) (mol/cm3s),Err,AL2O (mol/cm3s),Err,AL(L) (mol/cm3s),Err,AL2O3(L) (mol/cm3s),Err
60,5.99999999999999e-05,-4930.58508312128,0,-22927.1527674496,0,-29971.213755747,0,23574.1876130269,0,-784.669061138793,0,-130.570842516077,0,0,0,-80.1985536850989,0,0,0,18054.0033462047,0
61,6.09999999999999e-05,-4462.24280250399,0,-20304.2806693017,0,-24736.2820650028,0,21888.5763846703,0,-1732.7715958823,0,-379.03701834504,0,0,0,-72.9142486359924,0,0,0,15917.5994986756,0
62,6.19999999999999e-05,-4098.01631763322,0,-18208.4686671495,0,-22059.9517142347,0,19498.4787713968,0,-1415.26661240265,0,-334.248617349113,0,0,0,-57.4214590936899,0,0,0,14178.2873985781,0
63,6.29999999999999e-05,-3811.62973148667,0,-16498.384732008,0,-21674.3393830786,0,16346.3200069112,0,60.4763762866787,0,18.6823987548242,0,0,0,-42.1396894734353,0,0,0,12736.2036598579,0
64,6.39999999999999e-05,-3495.10150594186,0,-14963.5348515213,0,-17898.3370882676,0,15958.310506522,0,-1095.58548745,0,-234.753469919317,0,0,0,-44.9888336397707,0,0,0,11524.2543443888,0
65,6.49999999999999e-05,-3276.96805929724,0,-13729.8406596482,0,-17612.9847527519,0,13693.5421708303,0,-36.6080219704072,0,0.374960113132943,0,0,0,-31.4368271213025,0,0,0,10494.3422840179,0
66,6.59999999999999e-05,-3044.17698205582,0,-12614.8880242556,0,-15013.3470347527,0,13210.3049944764,0,-664.053699422448,0,-222.293973325891,0,0,0,-28.1324699800462,0,0,0,9611.21530142143,0
67,6.69999999999999e-05,-2852.18181275554,0,-11657.8704826236,0,-14056.2848863361,0,12053.4577786895,0,-460.22895782243,0,-134.932858604226,0,0,0,-25.5248222816736,0,0,0,8844.80550934292,0
68,6.79999999999999e-05,-2678.41365433711,0,-10817.1280466318,0,-12908.1821873538,0,11205.9178473081,0,-447.380588121763,0,-136.022174562195,0,0,0,-22.1473951358348,0,0,0,8175.15778460439,0
69,6.89999999999999e-05,-2526.36159876031,0,-10076.5286595672,0,-12395.1034967833,0,10180.0270885761,0,-158.64907473447,0,-25.4656188138417,0,0,0,-19.8975012898445,0,0,0,7585.42020524271,0
70,6.99999999999999e-05,-2388.69067530869,0,-9420.88508753479,0,-11559.7703212269,0,9440.5856986256,0,-65.7040921607559,0,-40.7558283188276,0,0,0,-15.1797603145242,0,0,0,7063.01813298151,0
71,7.09999999999999e-05,-2257.22779177317,0,-8824.41505034268,0,-10757.7195638872,0,8875.48739555122,0,-96.9068823109847,0,-27.0877304708619,0,0,0,-15.003473107703,0,0,0,6598.01832256425,0
72,7.19999999999999e-05,-2135.13473703986,0,-8286.59629008174,0,-9858.45217220875,0,8471.28766747653,0,-229.564300674127,0,-55.252744685958,0,0,0,-14.7530633369461,0,0,0,6181.58141298427,0
73,7.29999999999999e-05,-2032.99251517824,0,-7811.96981438994,0,-9539.95368122591,0,7783.36857326793,0,-11.3922588795976,0,-2.81111056281605,0,0,0,-11.9952305043116,0,0,0,5806.975568709,0
74,7.39999999999999e-05,-1904.14048624386,0,-7335.18591657281,0,-7619.93897930445,0,8315.47779673566,0,-1036.59937623775,0,-169.491398790683,0,0,0,-18.7610533600673,0,0,0,5468.59187304378,0
75,7.49999999999999e-05,-1838.9428356861,0,-6973.79538032413,0,-8227.95995144839,0,7097.71457389226,0,-161.209103506499,0,-35.9791612999663,0,0,0,-11.0536739779636,0,0,0,5161.08878059842,0
76,7.59999999999999e-05,-1763.59872407017,0,-6621.36939002573,0,-8166.37686122211,0,6451.4619135463,0,139.324633140865,0,21.6903665390919,0,0,0,-7.35919987875968,0,0,0,4880.99430941537,0
77,7.69999999999999e-05,-1679.06566648458,0,-6280.40210606158,0,-7443.87046733703,0,6323.91913917443,0,-76.2032442773934,0,-16.775672912052,0,0,0,-8.83864438999444,0,0,0,4625.18400635155,0
78,7.79999999999999e-05,-1603.26798497627,0,-5969.54110535979,0,-6932.79714235577,0,6111.91440660788,0,-175.972572226352,0,-25.6875194737252,0,0,0,-9.08301105443388,0,0,0,4390.78938030735,0
79,7.89999999999999e-05,-1648.612282,0,-5828.06813777983,0,-11206.6351390065,0,2529.8391830267,0,3331.90083758268,0,556.929677807949,0,0,0,29.4798204768449,0,0,0,4175.26379342713,0
80,7.99999999999999e-05,-1541.33834463625,0,-5512.58028288186,0,-8971.99796649426,0,3606.67902510207,0,1915.79977641002,0,306.959466536072,0,0,0,15.2326906044036,0,0,0,3976.57611021977,0
81,8.09999999999999e-05,-1415.83962784959,0,-5186.99023926258,0,-5978.077782262,0,5296.94538598502,0,-138.920937186645,0,-19.2702322279723,0,0,0,-7.21349800005555,0,0,0,3792.90290387715,0
82,8.19999999999999e-05,-1264.52030730427,0,-4845.07569397986,0,-1515.70213177001,0,8028.13870464919,0,-3263.85321923098,0,-561.870974587329,0,0,0,-38.7183957486413,0,0,0,3622.6271994886,0
83,8.29999999999999e-05,-1118.04365717362,0,-4518.61325111985,0,2690.99504007929,0,10654.2371948422,0,-6270.04821062046,0,-1045.35552404101,0,0,0,-70.5449614729732,0,0,0,3464.44889937138,0
84,8.39999999999999e-05,-1262.29643174329,0,-4560.70443560183,0,-5189.3933049042,0,4660.42712716539,0,-124.498931171323,0,-23.2614287525692,0,0,0,-5.91424040216953,0,0,0,3317.27000306414,0
85,8.49999999999999e-05,-1212.62371745967,0,-4373.51837454736,0,-4766.4654124689,0,4616.5750353668,0,-269.13714725903,0,-49.0236787643159,0,0,0,-6.91916308458894,0,0,0,3180.0559804427,0
86,8.59999999999999e-05,-1224.35904327467,0,-4270.86862692237,0,-6763.52858010674,0,2843.30758513355,0,1434.34553711435,0,212.832267378432,0,0,0,12.1068437164649,0,0,0,3051.83193203863,0
87,8.69999999999999e-05,-1173.51489048483,0,-4097.83072349429,0,-6154.71823880773,0,2982.14238417834,0,1116.87508115748,0,165.166116137706,0,0,0,8.69190838094801,0,0,0,2931.82099954888,0
88,8.79999999999998e-05,-1175.76007230452,0,-3997.82829119265,0,-7600.51836141665,0,1641.33919605182,0,2382.03469280001,0,355.037305915733,0,0,0,22.7809716579504,0,0,0,2819.30359288689,0
89,8.89999999999998e-05,-1131.18460483752,0,-3846.04966181517,0,-7070.63633237506,0,1754.20980993831,0,2113.1830285657,0,310.568008013827,0,0,0,20.1145330104046,0,0,0,2713.63641329921,0
90,8.99999999999998e-05,-1091.96501114616,0,-3706.69149538875,0,-6694.81144409079,0,1771.99625668614,0,1953.77118013392,0,283.659406369179,0,0,0,18.5963441855274,0,0,0,2614.2468869968,0
91,9.09999999999998e-05,-983.60606355922,0,-3486.87595571578,0,-3457.03287686182,0,3900.98685789983,0,-438.738811041339,0,-73.6512366962323,0,0,0,-7.27884429320693,0,0,0,2520.61895672063,0
92,9.19999999999998e-05,-960.99655995716,0,-3377.99370028079,0,-3672.07326154854,0,3524.45658737608,0,-166.264749594861,0,-28.1236416305066,0,0,0,-4.50403782119974,0,0,0,2432.29496500199,0
93,9.29999999999998e-05,-933.28086866165,0,-3267.54822397977,0,-3602.9606379977,0,3364.08449129388,0,-115.012749460451,0,-19.3771163215274,0,0,0,-3.86979654151946,0,0,0,2348.87404092295,0
94,9.39999999999998e-05,-908.442123355858,0,-3164.94021143764,0,-3611.73871910656,0,3159.46756494986,0,-10.8268240852808,0,-1.72980966171731,0,0,0,-2.78195785963908,0,0,0,2270.01560079521,0
95,9.49999999999998e-05,-881.543856354722,0,-3063.45929580927,0,-3482.44136944704,0,3064.79070375733,0,-17.4483712403448,0,-1.88594128102429,0,0,0,-2.7148314723745,0,0,0,2195.31757127445,0
96,9.59999999999998e-05,-856.801016373748,0,-2968.54016714543,0,-3377.2127321845,0,2960.9703033632,0,-7.72347291373444,0,-1.18086792506366,0,0,0,-2.49150440329686,0,0,0,2124.54098306435,0
97,9.69999999999998e-05,-832.884471586614,0,-2877.65190943331,0,-3272.04939458435,0,2866.55019696632,0,-3.80205328928696,0,-0.634155779273584,0,0,0,-2.33454404678196,0,0,0,2057.33665955618,0
98,9.79999999999998e-05,-827.933496751402,0,-2813.88914398104,0,-3857.41184267101,0,2263.18333199904,0,547.36032360297,0,71.2884221436415,0,0,0,4.2014750787057,0,0,0,1993.50261068737,0
99,9.89999999999998e-05,-788.621310717781,0,-2709.6420455128,0,-3108.46854615327,0,2669.52318717332,0,26.5289280259817,0,4.29926180667746,0,0,0,-1.81473124632612,0,0,0,1932.79593386218,0
100,9.99999999999998e-05,-762.85245003709,0,-2625.37070079893,0,-2798.53340832963,0,2748.6423568606,0,-139.082318032611,0,-21.4681444160168,0,0,0,-3.31334005855024,0,0,0,1875.01557267423,0
101,0.000101,-746.597787240872,0,-2555.23486559093,0,-2880.41019736155,0,2548.89514489372,0,-6.96475194540244,0,-1.02767529217517,0,0,0,-1.96375371329486,0,0,0,1819.97779727938,0
102,0.000102,-726.906653998627,0,-2483.16582912207,0,-2773.43784504832,0,2493.16245526973,0,-23.2469577053876,0,-3.67206061830804,0,0,0,-2.0208588433452,0,0,0,1767.48864783782,0
103,0.000103,-706.975300372115,0,-2413.12176191807,0,-2641.53985819083,0,2462.49512634621,0,-62.9751527132678,0,-9.29477216108922,0,0,0,-2.35416101594456,0,0,0,1717.39408881514,0
104,0.000104,-690.721202721974,0,-2349.55679088086,0,-2616.14297962653,0,2358.76868529584,0,-21.7848830252453,0,-3.37438172353451,0,0,0,-1.8548311793711,0,0,0,1669.55374558978,0
105,0.000105,-671.273796513923,0,-2284.06931906939,0,-2440.92049532995,0,2371.18453587999,0,-100.676546920859,0,-14.7883589350307,0,0,0,-2.56653717416339,0,0,0,1623.79031549156,0
106,0.000106,-676.191616733643,0,-2250.80629814416,0,-3207.676387798,0,1680.44605781584,0,569.906533430292,0,71.9894861954974,0,0,0,4.96143052331172,0,0,0,1580.02981883186,0
107,0.000107,-640.507819566034,0,-2168.4053619653,0,-2366.31118354772,0,2207.1724357641,0,-50.9708183270179,0,-7.27460268329882,0,0,0,-1.96588676190004,0,0,0,1538.13540016559,0
108,0.000108,-626.837975765633,0,-2115.08262480795,0,-2353.94676273833,0,2113.244866051,0,-9.38857363593388,0,-1.41706527183666,0,0,0,-1.4836300467141,0,0,0,1497.9873513885,0
109,0.000109,-610.425026738013,0,-2060.00237556547,0,-2223.16827080375,0,2111.74890375863,0,-63.6413734859439,0,-8.88531336447728,0,0,0,-1.98477262095548,0,0,0,1459.48742149928,0
110,0.00011,-616.929476846358,0,-2034.95845653862,0,-2955.29171722844,0,1460.95862648392,0,574.688635107748,0,70.9714433520552,0,0,0,5.22733074612916,0,0,0,1422.56750538534,0
111,0.000111,-580.754262237817,0,-1957.80407757312,0,-2015.21044443826,0,2081.11316385085,0,-135.980811685319,0,-18.4798625701716,0,0,0,-2.63445949601009,0,0,0,1387.08708124688,0
112,0.000112,-571.666227336598,0,-1915.70010133833,0,-2120.99719987659,0,1913.92169466724,0,-8.44013563913927,0,-1.15115971791038,0,0,0,-1.27473758393899,0,0,0,1352.97767872801,0
113,0.000113,-555.3049056578,0,-1865.86352998763,0,-1915.32176124829,0,1983.79342353142,0,-130.057725622116,0,-17.3635073215801,0,0,0,-2.49037641123869,0,0,0,1320.19607999692,0
114,0.000114,-547.155513561059,0,-1827.26666795462,0,-2027.42380947257,0,1818.10648751495,0,-0.514432671309805,0,-0.00572313252965984,0,0,0,-1.11658325977623,0,0,0,1288.66918424478,0
115,0.000115,-534.225616035365,0,-1783.96912964433,0,-1929.69562552261,0,1813.24253157387,0,-39.3896556308514,0,-5.27216807116038,0,0,0,-1.46607532235794,0,0,0,1258.39369198793,0
116,0.000116,-542.840599690888,0,-1768.62070786208,0,-2644.38657649679,0,1191.40309640224,0,579.323340994191,0,69.2212630040335,0,0,0,5.52813797793351,0,0,0,1229.20251661478,0
117,0.000117,-510.554239912565,0,-1702.93004846573,0,-1777.18315699481,0,1780.06029235347,0,-87.7093395640466,0,-11.4376140560623,0,0,0,-1.89696096885018,0,0,0,1201.05794326062,0
118,0.000118,-502.637175408103,0,-1668.67205494642,0,-1841.60421870905,0,1661.19275392037,0,-1.37089199261368,0,-0.133269724488773,0,0,0,-0.97282988880761,0,0,0,1173.91224266818,0
119,0.000119,-492.245728805751,0,-1632.2165723294,0,-1799.17420655087,0,1625.4056860317,0,-1.91518112997005,0,-0.134836866758075,0,0,0,-0.947257920634001,0,0,0,1147.74965303069,0
120,0.00012,-482.372647210503,0,-1597.25747960806,0,-1758.92128083869,0,1590.39644153706,0,-1.6834240878643,0,-0.11366952757948,0,0,0,-0.913474480155855,0,0,0,1122.51582007627,0
121,0.000121,-472.878348975691,0,-1563.53245837241,0,-1713.93196483327,0,1561.1415830716,0,-6.03676181216019,0,-0.821396044629896,0,0,0,-0.91840632725507,0,0,0,1098.16334018244,0
122,0.000122,-463.733980017822,0,-1531.00987865031,0,-1682.13342074628,0,1524.17792562787,0,-1.36171692384528,0,-0.1603585604419,0,0,0,-0.847325587179512,0,0,0,1074.62224299159,0
123,0.000123,-452.624589044233,0,-1496.79232218862,0,-1563.97760245464,0,1554.86050785608,0,-67.2651024650711,0,-8.41506026726625,0,0,0,-1.50797134637833,0,0,0,1051.85667859561,0
124,0.000124,-443.442010053867,0,-1465.61510676891,0,-1511.59097385537,0,1537.59816959419,0,-81.2945320474569,0,-10.048331384464,0,0,0,-1.63623828720301,0,0,0,1029.84832765001,0
125,0.000125,-435.820041496893,0,-1437.02916032821,0,-1509.62487416408,0,1483.64930650685,0,-55.3058059647148,0,-6.85504030377373,0,0,0,-1.33218875038438,0,0,0,1008.562589867,0
126,0.000126,-426.973804722633,0,-1407.55442205817,0,-1452.61106494776,0,1473.63613707605,0,-74.9915981438877,0,-9.15572129613735,0,0,0,-1.52327262912877,0,0,0,987.967227832408,0
127,0.000127,-402.287123568795,0,-1358.70890119672,0,-789.672294625149,0,1933.57269905771,0,-593.832887040027,0,-67.7707472473431,0,0,0,-7.36198347131722,0,0,0,968.028883335646,0
128,0.000128,-413.657642259879,0,-1355.78909522295,0,-1480.37876743236,0,1350.11892321575,0,-1.64084420200049,0,-0.198720384150171,0,0,0,-0.702560920501128,0,0,0,948.739908251771,0
129,0.000129,-391.012337532091,0,-1310.69230145216,0,-883.59829032303,0,1762.36869571846,0,-467.956369778088,0,-52.8469875706824,0,0,0,-5.91472652228549,0,0,0,930.045212909572,0
130,0.00013,-398.723018556929,0,-1304.26262247562,0,-1418.35012341555,0,1301.52849639467,0,-4.36225174362312,0,-0.538834633406884,0,0,0,-0.689725125906989,0,0,0,911.946256617367,0
131,0.000131,-391.677997238949,0,-1279.80167127401,0,-1394.84065115411,0,1273.79681953337,0,-0.91652743199279,0,-0.0494745949493662,0,0,0,-0.638995350105688,0,0,0,894.406057857579,0
132,0.000132,-384.789096360775,0,-1256.00146913528,0,-1367.5503116196,0,1250.27575774975,0,-1.0781761248877,0,-0.0634261808077987,0,0,0,-0.622021025745198,0,0,0,877.394239259185,0
133,0.000133,-377.038517878532,0,-1231.57255977392,0,-1297.7415857636,0,1260.73460000273,0,-36.4896605728259,0,-4.26507073874725,0,0,0,-0.980854696594179,0,0,0,860.880807542818,0
134,0.000134,-371.754784884452,0,-1210.63283909857,0,-1315.31513912495,0,1205.27143314977,0,-1.20415359679123,0,-0.135830671163619,0,0,0,-0.585372142726555,0,0,0,844.858241616986,0
135,0.000135,-357.353051410423,0,-1178.69104870409,0,-991.41726928391,0,1415.84361059015,0,-248.441722713782,0,-27.3370500330777,0,0,0,-3.34204319212586,0,0,0,829.285114929261,0
136,0.000136,-359.212007757383,0,-1167.59751781076,0,-1266.58381316769,0,1162.44510009609,0,-1.19432859464303,0,-0.128455329772738,0,0,0,-0.554363136528991,0,0,0,814.177893226161,0
137,0.000137,-353.098221426869,0,-1146.87344695628,0,-1238.75883272659,0,1145.42245110936,0,-4.85284922551512,0,-0.571333851886706,0,0,0,-0.576392530230805,0,0,0,799.502678071604,0
138,0.000138,-347.317701061594,0,-1126.94945437461,0,-1221.24077873134,0,1121.61698654313,0,-0.804961868130704,0,-0.0422215407532285,0,0,0,-0.522620320669375,0,0,0,785.246562691957,0
139,0.000139,-341.63655768562,0,-1107.49299652874,0,-1199.23751233141,0,1102.25108994018,0,-0.794692591194007,0,-0.041677435580036,0,0,0,-0.508489641593769,0,0,0,771.384548381285,0
140,0.00014,-336.151098860893,0,-1088.60787203908,0,-1176.47390490397,0,1084.43671035578,0,-1.77957083051263,0,-0.19895922488532,0,0,0,-0.50312958471477,0,0,0,757.904376107288,0
141,0.000141,-330.720937102468,0,-1070.15509942919,0,-1157.17836984328,0,1064.97965463933,0,-0.66671325384516,0,-0.0318454981629079,0,0,0,-0.480732386233285,0,0,0,744.795587984195,0
142,0.000142,-326.800163856918,0,-1053.90646186471,0,-1184.11700401136,0,1010.14065828297,0,38.8231885118435,0,4.02092370953715,0,0,0,-0.0114235545042902,0,0,0,732.037489523184,0
143,0.000143,-319.570910895645,0,-1033.7886351496,0,-1086.69164180214,0,1053.45078828249,0,-25.7845727788418,0,-2.86570669514399,0,0,0,-0.725437233224511,0,0,0,719.614706666681,0
144,0.000144,-315.347166596671,0,-1017.74716219306,0,-1098.24996560214,0,1012.70350612265,0,-0.524840517266171,0,-0.0213859841981101,0,0,0,-0.443059920915402,0,0,0,707.525432263151,0
145,0.000145,-310.482381970664,0,-1001.16555167735,0,-1076.32254018795,0,998.72149008895,0,-3.07790732921399,0,-0.353339457742821,0,0,0,-0.455192211316898,0,0,0,695.749946412976,0
146,0.000146,-307.192880399202,0,-986.869238950312,0,-1113.19884201993,0,939.438274018708,0,42.9193192666214,0,4.38629407148074,0,0,0,0.08095164434053,0,0,0,684.268955860434,0
147,0.000147,-301.052720671158,0,-969.238883681595,0,-1043.75807233345,0,964.433885463253,0,-0.512290700948029,0,-0.0211760903875184,0,0,0,-0.410366993281059,0,0,0,673.093084936447,0
148,0.000148,-295.739623063047,0,-952.910493806005,0,-996.041399173444,0,972.908857364482,0,-25.7057942457445,0,-2.79054799435399,0,0,0,-0.67217259737663,0,0,0,662.206128832848,0
149,0.000149,-292.122842588859,0,-938.937418952584,0,-1007.52465223714,0,935.986443452367,0,-2.23196949856742,0,-0.245851550722128,0,0,0,-0.405968824750744,0,0,0,651.591552537759,0
150,0.00015,-282.093531112546,0,-917.118682079017,0,-780.792764470466,0,1086.48368570235,0,-177.941936046729,0,-18.4460545248171,0,0,0,-2.37095652509015,0,0,0,641.231126864777,0
151,0.000151,-283.539884545984,0,-910.040272280574,0,-977.505874435986,0,905.483610612628,0,-0.451891726595477,0,-0.0174674084751913,0,0,0,-0.371324183186516,0,0,0,631.137616945945,0
152,0.000152,-279.41539889779,0,-896.141356348991,0,-961.978744803972,0,891.650511161972,0,-0.444598067782522,0,-0.0171533224280784,0,0,0,-0.362438249401748,0,0,0,621.298962456602,0
153,0.000153,-275.381914591729,0,-882.572465136647,0,-946.812546694722,0,878.170187950044,0,-0.46266692076972,0,-0.0187292990840593,0,0,0,-0.354100624797866,0,0,0,611.701394027492,0
154,0.000154,-270.928985816138,0,-868.674730993807,0,-911.489236196133,0,881.034509586785,0,-17.4735576494525,0,-1.85525988382303,0,0,0,-0.529187259729952,0,0,0,602.330336974414,0
155,0.000155,-267.148715543598,0,-855.82289262116,0,-899.719191276312,0,866.089266327583,0,-15.2709030032822,0,-1.61506148572959,0,0,0,-0.497119988547638,0,0,0,593.181586385873,0
156,0.000156,-263.384822463928,0,-843.183137737215,0,-885.849987314985,0,853.348576528787,0,-15.1011239712161,0,-1.59044715281793,0,0,0,-0.487793212523684,0,0,0,584.246207240406,0
157,0.000157,-258.166330108769,0,-828.887141346931,0,-815.788723923447,0,885.466298006387,0,-62.39322169411,0,-6.33055843945493,0,0,0,-1.01508998509962,0,0,0,575.519786287718,0
158,0.000158,-256.568228808298,0,-819.341717399657,0,-874.747815152181,0,816.468399850469,0,-1.67806376711428,0,-0.174950567190255,0,0,0,-0.326432738336734,0,0,0,566.998437169324,0
